date,chain,deposit_usd,withdraw_usd,netflow_usd
2024-10-07,Solana,2894810.0,6521392.0,-3626582.0
2024-10-08,Solana,6322216.0,4560648.0,1761568.0
2024-10-09,Solana,11435396.0,3698482.0,7736914.0
2024-10-10,Solana,7418292.0,3183548.0,4234744.0
2024-10-11,Solana,4460692.0,3590425.0,870267.0
2024-10-12,Solana,6930218.0,4662199.0,2268019.0
2024-10-13,Solana,3063768.0,6858333.0,-3794565.0
2024-10-14,Solana,5929229.0,12492596.0,-6563367.0
2024-10-15,Solana,4146288.0,7759183.0,-3612895.0
2024-10-16,Solana,5370676.0,14107610.0,-8736934.0
2024-10-17,Solana,4008539.0,9221073.0,-5212534.0
2024-10-18,Solana,7157888.0,11747450.0,-4589562.0
2024-10-19,Solana,3380461.0,5269435.0,-1888974.0
2024-10-20,Solana,2621505.0,4203423.0,-1581918.0
2024-10-21,Solana,2341116.0,8168176.0,-5827060.0
2024-10-22,Solana,4018698.0,8874936.0,-4856238.0
2024-10-23,Solana,3816910.0,8285239.0,-4468329.0
2024-10-24,Solana,3933027.0,9352389.0,-5419362.0
2024-10-25,Solana,5113299.0,7905827.0,-2792528.0
2024-10-26,Solana,6045035.0,6613805.0,-568770.0
2024-10-27,Solana,2503257.0,3589455.0,-1086198.0
2024-10-28,Solana,2651877.0,4994911.0,-2343034.0
2024-10-29,Solana,5169166.0,6966384.0,-1797218.0
2024-10-30,Solana,5374035.0,7358707.0,-1984672.0
2024-10-31,Solana,3886931.0,4846494.0,-959563.0
2024-11-01,Solana,2509057.0,4189502.0,-1680445.0
2024-11-02,Solana,2413841.0,4133367.0,-1719526.0
2024-11-03,Solana,2761194.0,4582420.0,-1821226.0
2024-11-04,Solana,3986804.0,2980605.0,1006199.0
2024-11-05,Solana,3612941.0,4249418.0,-636477.0
2024-11-06,Solana,5377517.0,6058124.0,-680607.0
2024-11-07,Solana,4424648.0,5745380.0,-1320732.0
2024-11-08,Solana,3687450.0,5781535.0,-2094085.0
2024-11-09,Solana,5794493.0,4765278.0,1029215.0
2024-11-10,Solana,4439558.0,9912814.0,-5473256.0
2024-11-11,Solana,6968951.0,11486384.0,-4517433.0
2024-11-12,Solana,5766215.0,7860355.0,-2094140.0
2024-11-13,Solana,9510530.0,12803420.0,-3292890.0
2024-11-14,Solana,7038105.0,14992854.0,-7954749.0
2024-11-15,Solana,9295608.0,12858868.0,-3563260.0
2024-11-16,Solana,6506624.0,10599859.0,-4093235.0
2024-11-17,Solana,7060895.0,13962710.0,-6901815.0
2024-11-18,Solana,8630302.0,15528360.0,-6898058.0
2024-11-19,Solana,6775204.0,12324813.0,-5549609.0
2024-11-20,Solana,6214743.0,17208760.0,-10994017.0
2024-11-21,Solana,10161224.391181055,14689080.670799349,-4527856.279618293
