anchor,month_end,N_anchor,sigma_offpeg,mean_offpeg,tail1,tail2,dlog_usd_per_anchor,Pol_anchor,cum_events,policy_stage,ban_dummy,any_impulse,Pol_anchor_l1,sigma_offpeg_l1,mean_offpeg_l1,tail1_l1,tail2_l1,N_anchor_l1,cum_events_l1,policy_stage_l1,ban_dummy_l1
JPY,2025-07-31,2,9.985152968680598,-17.33708523455035,1.0,1.0,-0.037452211557194026,3.0,1.0,3.0,0,0.0,3.0,7.355068919521557,-14.524993295180845,1.0,1.0,2.0,1.0,3.0,0.0
JPY,2025-08-31,2,5.296568827187343,-12.70724558850119,1.0,1.0,0.01718695016252436,3.0,1.0,3.0,0,0.0,3.0,9.985152968680598,-17.33708523455035,1.0,1.0,2.0,1.0,3.0,0.0
JPY,2025-09-30,2,5.172427146949345,-15.182788813361181,1.0,1.0,-0.0047154433644873706,3.0,1.0,3.0,0,0.0,3.0,5.296568827187343,-12.70724558850119,1.0,1.0,2.0,1.0,3.0,0.0
JPY,2025-10-31,2,6.361726722458821,-11.668978840310848,1.0,1.0,-0.040950013547159436,3.0,1.0,3.0,0,0.0,3.0,5.172427146949345,-15.182788813361181,1.0,1.0,2.0,1.0,3.0,0.0
JPY,2025-11-30,2,4.585117326494897,-12.7396103397411,1.0,1.0,0.004404728296754534,3.0,1.0,3.0,0,0.0,3.0,6.361726722458821,-11.668978840310848,1.0,1.0,2.0,1.0,3.0,0.0
SGD,2024-11-30,1,0.39264611595120136,0.14529064010545928,1.0,1.0,-0.014568150641370514,2.0,1.0,2.0,0,0.0,,,,,,,,,
SGD,2024-12-31,1,0.2944297977858771,-0.004092769231498551,0.967741935483871,0.9032258064516129,-0.01686817014317049,2.0,1.0,2.0,0,0.0,2.0,0.39264611595120136,0.14529064010545928,1.0,1.0,1.0,1.0,2.0,0.0
SGD,2025-01-31,1,0.4012741252852153,-0.08364719872566204,0.9354838709677419,0.9032258064516129,0.005552187054579438,2.0,1.0,2.0,0,0.0,2.0,0.2944297977858771,-0.004092769231498551,0.967741935483871,0.9032258064516129,1.0,1.0,2.0,0.0
SGD,2025-02-28,1,0.31474999888868427,-0.027509165742449302,1.0,1.0,0.005570032047110207,2.0,1.0,2.0,0,0.0,2.0,0.4012741252852153,-0.08364719872566204,0.9354838709677419,0.9032258064516129,1.0,1.0,2.0,0.0
SGD,2025-03-31,1,0.3033220707566874,-0.03444402276975898,1.0,0.967741935483871,0.004309683963044431,2.0,1.0,2.0,0,0.0,2.0,0.31474999888868427,-0.027509165742449302,1.0,1.0,1.0,1.0,2.0,0.0
SGD,2025-04-30,1,0.4333874929623387,-0.10665764595406062,1.0,0.9666666666666667,0.027160460024625743,2.0,1.0,2.0,0,0.0,2.0,0.3033220707566874,-0.03444402276975898,1.0,0.967741935483871,1.0,1.0,2.0,0.0
SGD,2025-05-31,1,0.3805127687333128,-0.12386116751484681,1.0,0.9354838709677419,0.012332475951316035,2.0,1.0,2.0,0,0.0,2.0,0.4333874929623387,-0.10665764595406062,1.0,0.9666666666666667,1.0,1.0,2.0,0.0
SGD,2025-06-30,1,0.310565964198154,-0.027760831613035844,0.9333333333333333,0.8666666666666667,0.012218813400505596,2.0,1.0,2.0,0,0.0,2.0,0.3805127687333128,-0.12386116751484681,1.0,0.9354838709677419,1.0,1.0,2.0,0.0
SGD,2025-07-31,1,0.2123616167846233,-0.009207893328410847,1.0,0.967741935483871,-0.01721045650873118,2.0,1.0,2.0,0,0.0,2.0,0.310565964198154,-0.027760831613035844,0.9333333333333333,0.8666666666666667,1.0,1.0,2.0,0.0
SGD,2025-08-31,1,0.25659210342530375,0.04260341886494078,0.967741935483871,0.9032258064516129,0.008832265189311517,2.0,1.0,2.0,0,0.0,2.0,0.2123616167846233,-0.009207893328410847,1.0,0.967741935483871,1.0,1.0,2.0,0.0
SGD,2025-09-30,1,0.16425853657860381,0.02715170306791431,1.0,1.0,-0.0033929357916249736,2.0,1.0,2.0,0,0.0,2.0,0.25659210342530375,0.04260341886494078,0.967741935483871,0.9032258064516129,1.0,1.0,2.0,0.0
SGD,2025-10-31,1,0.18749779734643118,0.03596875229257863,0.967741935483871,0.967741935483871,-0.009031674759276298,2.0,1.0,2.0,0,0.0,2.0,0.16425853657860381,0.02715170306791431,1.0,1.0,1.0,1.0,2.0,0.0
SGD,2025-11-30,1,0.1444852948499852,-0.012331768366704576,0.8,0.6,-0.0036706314068755685,2.0,1.0,2.0,0,0.0,2.0,0.18749779734643118,0.03596875229257863,0.967741935483871,0.967741935483871,1.0,1.0,2.0,0.0
